#DATA_BASE,DOCUMENTO,CNPJ,AGENCIA,NOME_INSTITUICAO,COD_CONGL,NOME_CONGL,TAXONOMIA,CONTA,NOME_CONTA,SALDO,URL,URL_Documentos
202310,4010,2843443,,COOP SICREDI NORTE SC,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"2884506828,14",https://www.sicredi.com.br/coop/norte/,https://www.sicredi.com.br/coop/norte/documentos-e-relatorios/
202310,4010,2923389,,COOP SICREDI ARACAJU,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"698563027,47",https://www.sicredi.com.br/coop/aracaju/,https://www.sicredi.com.br/coop/aracaju/documentos-e-relatorios/
202310,4010,2924977,,COOP SICREDI MEDICRED,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"70131961,02",https://www.sicredi.com.br/coop/medicred-pr/,https://www.sicredi.com.br/coop/medicred-pr/documentos-e-relatorios/
202310,4010,3000142,,COOP POL FED - SICREDI POL,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"90370605,32",https://www.sicredi.com.br/coop/pol/,https://www.sicredi.com.br/coop/pol/documentos-e-relatorios/
202310,4010,3042597,,COOP SICREDI CAMPO GRANDE,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"2620360731,74",https://www.sicredi.com.br/coop/campogrande/,https://www.sicredi.com.br/coop/campogrande/documentos-e-relatorios/
202310,4010,3065046,,COOP SICREDI NOROESTE SP,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"772003188,03",https://www.sicredi.com.br/coop/noroestesp/,https://www.sicredi.com.br/coop/noroestesp/documentos-e-relatorios/
202310,4010,3212823,,COOP SICREDI MIL,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"111452263,80",https://www.sicredi.com.br/coop/mil/,https://www.sicredi.com.br/coop/mil/documentos-e-relatorios/
202310,4010,3428338,,SICREDI CREDUNI,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"298414225,91",https://www.sicredi.com.br/coop/creduni/,https://www.sicredi.com.br/coop/creduni/documentos-e-relatorios/
202310,4010,3566655,,COOP SICREDI CELEIRO OESTE,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"4457426482,13",https://www.sicredi.com.br/coop/celeiro-co/,https://www.sicredi.com.br/coop/celeiro-co/documentos-e-relatorios/
202310,4010,3662047,,COOP SICREDI MP,,,COOPERATIVAS DE CREDITO,10000007,ATIVO REALIZÁVEL,"72840510,69",https://www.sicredi.com.br/site/cooperativas/,https://www.sicredi.com.br/site/cooperativas/documentos-e-relatorios/
